[18:00:05] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:05] [asda | ssss] Movimento detectado
[18:00:05] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:05] [asda | ssss] Movimento cessado
[18:00:05] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:05] [asda | ssss] Movimento detectado
[18:00:06] [asda | ssss] Movimento cessado
[18:00:06] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:06] [asda | ssss] Movimento detectado
[18:00:06] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:07] [asda | ssss] Movimento cessado
[18:00:07] [asda | ssss] Movimento detectado
[18:00:07] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:07] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:07] [asda | ssss] Movimento cessado
[18:00:08] [asda | ssss] Rosto: Olhando Direita (SENT)
[18:00:08] [asda | ssss] Movimento detectado
[18:00:08] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:08] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:09] [asda | ssss] Movimento cessado
[18:00:09] [asda | ssss] Movimento detectado
[18:00:09] [asda | ssss] Movimento cessado
[18:00:09] [asda | ssss] Movimento detectado
[18:00:09] [asda | ssss] Movimento cessado
[18:00:10] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:10] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:10] [asda | ssss] Movimento detectado
[18:00:10] [asda | ssss] Movimento cessado
[18:00:11] [asda | ssss] Rosto: Olhando Para Cima (SENT)
[18:00:11] [asda | ssss] Movimento detectado
[18:00:11] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:00:11] [asda | ssss] Movimento cessado
[18:00:12] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:17] [asda | ssss] Rosto: Olhando Para Cima (SENT)
[18:00:17] [asda | ssss] Movimento detectado
[18:00:17] [asda | ssss] Rosto: Olhando Direita (SENT)
[18:00:17] [asda | ssss] Movimento cessado
[18:00:18] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:19] [asda | ssss] Rosto: Olhando Para Cima (SENT)
[18:00:19] [asda | ssss] Movimento detectado
[18:00:20] [asda | ssss] Rosto: Olhando Direita (SENT)
[18:00:20] [asda | ssss] Movimento cessado
[18:00:20] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:00:20] [asda | ssss] Movimento detectado
[18:00:20] [asda | ssss] Movimento cessado
[18:00:20] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:20] [asda | ssss] Movimento detectado
[18:00:21] [asda | ssss] Movimento cessado
[18:00:21] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:22] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:00:22] [asda | ssss] Movimento detectado
[18:00:22] [asda | ssss] Movimento cessado
[18:00:23] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:24] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:24] [asda | ssss] Movimento detectado
[18:00:24] [asda | ssss] Movimento cessado
[18:00:24] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:25] [asda | ssss] Movimento detectado
[18:00:25] [asda | ssss] Movimento cessado
[18:00:28] [asda | ssss] Rosto: Olhando Direita (SENT)
[18:00:28] [asda | ssss] Movimento detectado
[18:00:28] [asda | ssss] Movimento cessado
[18:00:28] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:29] [asda | ssss] Rosto: Olhando Direita (SENT)
[18:00:29] [asda | ssss] Movimento detectado
[18:00:30] [asda | ssss] Movimento cessado
[18:00:30] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:30] [asda | ssss] Movimento detectado
[18:00:30] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:31] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:21:52] [asda | ssss] Movimento detectado
[18:21:52] [asda | ssss] Movimento cessado
[18:21:53] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:21:53] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:21:53] [asda | ssss] Movimento detectado
[18:21:53] [asda | ssss] Movimento cessado
[18:21:53] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:21:54] [asda | ssss] Movimento detectado
[18:21:55] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:21:55] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:21:57] [asda | ssss] Movimento cessado
[18:21:58] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:21:58] [asda | ssss] Movimento detectado
[18:21:59] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:00] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:01] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:03] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:03] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:06] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:07] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:09] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:22:10] [asda | ssss] Rosto: Olhando Para Cima (SENT)
[18:22:10] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:11] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:15] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:16] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:16] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:16] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:17] [asda | ssss] Rosto: Olhando Para Cima (SENT)
[18:22:17] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:18] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:19] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:22:19] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:22] [asda | ssss] Rosto: Olhando Para Cima (SENT)
[18:22:22] [asda | ssss] Rosto: Olhando Direita (SENT)
[18:22:22] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:22:23] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:22:23] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:26] [asda | ssss] Rosto: Olhando Esquerda (SENT)
[18:22:27] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:22:27] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:22:28] [asda | ssss] Rosto: Olhando Esquerda (SENT)
